term,description,category,subcategory,lang
Май сүзгісі,"Фильтр, очищающий моторное масло.",Автосервисы,Автозапчасти,ru
Қосалқы белдік,"Ремень, приводящий в действие дополнительные элементы двигателя.",Автосервисы,Автозапчасти,ru
Салқындату сұйықтығы,"Жидкость, регулирующая температуру двигателя.",Автосервисы,Автозапчасти,ru
Тартқыш,Основная деталь рулевой или подвесной системы.,Автосервисы,Автозапчасти,ru
Жарықшам,"Фары, обеспечивающие переднее и заднее освещение.",Автосервисы,Автозапчасти,ru
Бақылау шамдары,"Сигнальные лампы, сообщающие о системных неисправностях автомобиля.",Автосервисы,Автозапчасти,ru
Әйнек жуу,Система для очистки стекол водой.,Автосервисы,Автозапчасти,ru
Орталық құлыптау,"Система, запирающая все двери одновременно.",Автосервисы,Автозапчасти,ru
Қауіпсіздік белдігі,"Ремень, обеспечивающий безопасность водителя и пассажиров.",Автосервисы,Автозапчасти,ru
Қауіпсіздік жастығы,"Надувная подушка, уменьшающая травмы при аварии.",Автосервисы,Автозапчасти,ru
Жылдамдық өлшеуіш,"Прибор, показывающий скорость автомобиля.",Автосервисы,Автозапчасти,ru
Қозғалтқыш батырмасы,"Кнопка, используемая для запуска двигателя.",Автосервисы,Автозапчасти,ru
Отын жүйесі,Система подачи топлива в двигатель.,Автосервисы,Автозапчасти,ru
Айна,"Устройство, позволяющее контролировать обзор вокруг автомобиля.",Автосервисы,Автозапчасти,ru
Шаңқорғағыш,"Деталь, предотвращающая разбрызгивание воды и грязи от колеса.",Автосервисы,Автозапчасти,ru
Тежегіш тұтқасы,Рычаг ручного стояночного тормоза.,Автосервисы,Автозапчасти,ru
Тісті белдік,"Ремень, приводящий в движение клапаны двигателя.",Автосервисы,Автозапчасти,ru
Жанармай көрсеткіші,"Прибор, показывающий уровень топлива.",Автосервисы,Автозапчасти,ru
Тартқыш бау,"Ремень, используемый для буксировки автомобиля или груза.",Автосервисы,Автозапчасти,ru
Ауа жүйесі,Система вентиляции и очистки воздуха в салоне автомобиля.,Автосервисы,Автозапчасти,ru
Алдыңғы аспа,Амортизационная система для передних колес.,Автосервисы,Автозапчасти,ru
Артқы аспа,Амортизационная система для задних колес.,Автосервисы,Автозапчасти,ru
Шаңсорғыш,"Деталь, регулирующая внутреннее давление двигателя.",Автосервисы,Автозапчасти,ru
Сығымдағыш,"Устройство, увеличивающее мощность двигателя за счет повышения давления воздуха.",Автосервисы,Автозапчасти,ru
Майлау жүйесі,"Система смазки, уменьшающая трение и обеспечивающая смазку деталей двигателя.",Автосервисы,Автозапчасти,ru
Қозғалтқыш тіреуі,"Опора, фиксирующая двигатель на кузове и обеспечивающая его устойчивость.",Автосервисы,Автозапчасти,ru
Жанармай түтікшесі,"Трубка, подающая топливо из бака в двигатель.",Автосервисы,Автозапчасти,ru
Қозғалтқыш қорғағышы,"Защитный кожух, предохраняющий двигатель от внешних воздействий.",Автосервисы,Автозапчасти,ru
Артқы белдік,"Ремень, передающий движение между колесами и двигателем.",Автосервисы,Автозапчасти,ru
Кері серіппе,"Пружина, возвращающая системы в исходное положение.",Автосервисы,Автозапчасти,ru
Төбешам,"Внутренний светильник, расположенный на потолке автомобиля.",Автосервисы,Автозапчасти,ru
Тұмсықшам,"Фара, используемая для освещения дороги в темноте.",Автосервисы,Автозапчасти,ru
Тұманшам,"Фара, улучшающая видимость в тумане.",Автосервисы,Автозапчасти,ru
Шанақ,Внешний металлический каркас автомобиля.,Автосервисы,Автозапчасти,ru
Тірек серіппе,"Деталь, обеспечивающая упругость двигателя во время работы.",Автосервисы,Автозапчасти,ru
Сақтандырғыш,"Устройство, защищающее электрическую систему двигателя от короткого замыкания.",Автосервисы,Автозапчасти,ru
Білік,"Вал, передающий вращение внутри коробки передач.",Автосервисы,Автозапчасти,ru
Тетік,Рычаг для ручного переключения передач.,Автосервисы,Автозапчасти,ru
Тығыздағыш,"Резиновый элемент, уплотняющий соединение двух деталей.",Автосервисы,Автозапчасти,ru
Май салқындатқыш,"Устройство, охлаждающее температуру моторного масла.",Автосервисы,Автозапчасти,ru
Жылу оқшаулағыш,"Материал, предотвращающий выход тепла из моторного отсека.",Автосервисы,Автозапчасти,ru
Оттық шам,Свеча накаливания для запуска дизельного двигателя.,Автосервисы,Автозапчасти,ru
Шеткі тартқыш,Основной крепежный элемент в системе подвески.,Автосервисы,Автозапчасти,ru
Шанақ нығыздағыш,"Элемент, обеспечивающий герметичность кузова и внешних деталей.",Автосервисы,Автозапчасти,ru
Бекіту ілмегі,Элемент для крепления грузов или запасных частей.,Автосервисы,Автозапчасти,ru
Аралас тежегіш,"Система, повышающая эффективность торможения путем объединения гидравлики и воздушного давления.",Автосервисы,Автозапчасти,ru
Қосалқы дөңгелек,Механизм для крепления запасного колеса к автомобилю.,Автосервисы,Автозапчасти,ru
Бекіткіш,Хомут для фиксации трубок и кабелей.,Автосервисы,Автозапчасти,ru
Шанақ,Основная несущая конструкция автомобиля.,Автосервисы,Автозапчасти,ru
Ілмек,Буксировочный крюк.,Автосервисы,Автозапчасти,ru
Тарту белдігі,"Ремень, обеспечивающий безопасность при аварии.",Автосервисы,Автозапчасти,ru
Сақтандырғыш қорабы,"Блок, защищающий электрическую систему от короткого замыкания.",Автосервисы,Автозапчасти,ru
Желдеткіш,Устройство для вентиляции заднего стекла или салона автомобиля.,Автосервисы,Автозапчасти,ru
Тіреуіш,"Металлический элемент, стабилизирующий кузов и обеспечивающий его прочность.",Автосервисы,Автозапчасти,ru
Реттегіш,Система для механической или электронной регулировки зеркал.,Автосервисы,Автозапчасти,ru
Есік ілмегі,"Крюк, обеспечивающий механизм открытия и закрытия дверей.",Автосервисы,Автозапчасти,ru
Тұтқа,Ручка для открытия двери снаружи.,Автосервисы,Автозапчасти,ru
Тежегіш шамы,"Безопасная лампа, загорающаяся при нажатии тормоза.",Автосервисы,Автозапчасти,ru
Жарық бұрғыш,"Элемент, направляющий свет фар (рассеиватель).",Автосервисы,Автозапчасти,ru
Шыны шайғыш,Бачок для хранения жидкости стеклоомывателя.,Автосервисы,Автозапчасти,ru
Салқындатқыш,Вентилятор для охлаждения двигателя.,Автосервисы,Автозапчасти,ru
Дөңгелек қақпағы,"Декоративный колпак, защищающий колесо от внешних воздействий.",Автосервисы,Автозапчасти,ru
Желдеткіш торы,"Решетка, направляющая поток воздуха в системе вентиляции.",Автосервисы,Автозапчасти,ru
Ағартушы,"Профессионал, занимающийся образованием и просветительской деятельностью, представитель интеллигенции.",Организации культурного досуга,Организации культурного досуга,ru
Абат,"Место с зелёными лугами, садами, благоприятное для отдыха.",Организации культурного досуга,Организации культурного досуга,ru
Ақылман,"Мудрец, наставник, советник, обладающий знаниями и глубоким пониманием, философ.",Организации культурного досуга,Организации культурного досуга,ru
Балқұндақ,"Красивое и образное слово, обозначающее юность, раннюю пору молодости.",Организации культурного досуга,Организации культурного досуга,ru
Болмыс-бітім,"Врождённые черты человека или природных явлений, индивидуальность, уникальность.",Организации культурного досуга,Организации культурного досуга,ru
Бұйымтай,"В казахской традиции просьба гостя, которую хозяева дома спрашивают перед его отъездом и исполняют.",Организации культурного досуга,Организации культурного досуга,ru
Даму,"Непрерывное развитие общества, нации, государства и личности, движение вперёд.",Организации культурного досуга,Организации культурного досуга,ru
Дарын,"Выдающееся качество, особый талант, замечательная способность, присущая человеку.",Организации культурного досуга,Организации культурного досуга,ru
Ерен,"Необычный, особенный, выдающийся, грандиозный.",Организации культурного досуга,Организации культурного досуга,ru
Жалқы,"Уникальный, единственный, индивидуальный.",Организации культурного досуга,Организации культурного досуга,ru
Жаңашыл,"Человек, общество или нация, склонные к новым взглядам, новаторству, открытые для перемен.",Организации культурного досуга,Организации культурного досуга,ru
Жеті ата,Семь поколений предков. Жеті ата начинается с отца и идёт вверх по родословной.,Организации культурного досуга,Организации культурного досуга,ru
Жеті ғалам,"Понятие в казахском мировоззрении, включающее четыре стороны света, верхний мир, средний мир и нижний мир.",Организации культурного досуга,Организации культурного досуга,ru
Жоралғы,"Обычай, обряд, подарок, традиция.",Организации культурного досуга,Организации культурного досуга,ru
Зиялы қауым,"Движущая сила общества, пример интеллекта, образованности и мастерства.",Организации культурного досуга,Организации культурного досуга,ru
Иранбақ,"Фантастический сад из восточных сказок, место, где царят уют и покой.",Организации культурного досуга,Организации культурного досуга,ru
Көрімдік,"Подарок в честь рождения ребёнка, появления невесты в доме, приобретения нового имущества или радостного события, древняя традиция казахского народа.",Организации культурного досуга,Организации культурного досуга,ru
Еружай,"Древнее слово, обозначающее удобное место для остановки и отдыха.",Организации культурного досуга,Организации культурного досуга,ru
Құс жолы,"Длинная светлая полоса на ночном небе, состоящая из удалённых звёзд.",Организации культурного досуга,Организации культурного досуга,ru
Отау,"Дом, который строит и обустраивает сын после женитьбы, отделившись от родительской семьи.",Организации культурного досуга,Организации культурного досуга,ru
Сал-сері,"Импровизационный поэт, певец, обладатель великого искусства.",Организации культурного досуга,Организации культурного досуга,ru
Тұсаукесер,"Обряд перерезания пут у ребёнка с пожеланием, чтобы он быстро начал ходить.",Организации культурного досуга,Организации культурного досуга,ru
Шабыт,"Особенное, вдохновенное состояние человека.",Организации культурного досуга,Организации культурного досуга,ru
Аққайың,"Вид дерева с белой корой, символизирующий красоту, элегантность и чистоту.",Организации культурного досуга,Бани,ru
Ақбұлақ,"Источник, начало, родник. В Казахстане это слово часто используется как название рек и населённых пунктов.",Организации культурного досуга,Бани,ru
Алтынкүрек,"Тёплый ветер, который растапливает снег и приносит весну, возвращая зимнюю стужу.",Организации культурного досуга,Бани,ru
Арасан,Лечебная минеральная вода с сильными целебными свойствами. В казахском языке это слово используется в широком контексте.,Организации культурного досуга,Бани,ru
Бесін,"Время, когда наступает вечер.",Организации культурного досуга,Бани,ru
Ыстық бу,"Символизирует теплую, уютную атмосферу и полезный для здоровья горячий пар.",Организации культурного досуга,Бани,ru
Демал,"Отдых, необходимый для восстановления силы и энергии.",Организации культурного досуга,Бани,ru
Жайлы,"Место, где созданы все условия для отдыха и расслабления.",Организации культурного досуга,Бани,ru
Жансая,"Душа — дух, жизненная сила человека. Тень — защита, убежище, укрытие.",Организации культурного досуга,Бани,ru
Жарайсың,"Похвала, поддержка, слова благодарности, когда выражается искреннее одобрение работы, дела или услуги.",Организации культурного досуга,Бани,ru
Жетіқарақшы,"Созвездие, расположенное в северном полушарии неба.",Организации культурного досуга,Бани,ru
Кермиық,"Вежливый, изысканный, утончённый, грациозный.",Организации культурного досуга,Бани,ru
Керімсал,"Тёплый ветер, приятный в жаркую погоду.",Организации культурного досуга,Бани,ru
Кәусар,"Безупречно чистый, прозрачный, ясный.",Организации культурного досуга,Бани,ru
Көзайым,"Выражает удовольствие и наслаждение, которое человек получает в бане, отдыхая душой и телом.",Организации культурного досуга,Бани,ru
Рақат,"Наслаждение внутренним спокойствием, хорошее самочувствие, отдых.",Организации культурного досуга,Бани,ru
Шипалы су,"Полезная для здоровья, с лечебными свойствами вода.",Организации культурного досуга,Бани,ru
Сексеуіл,"Твёрдое хвойное дерево, растущее в песчаных местностях.",Организации культурного досуга,Бани,ru
Айдын,"Сила, величие, грозность; ясный, светлый, открытый.",Организации культурного досуга,Кинотеатры,ru
Айдынды әлем,"Сила, величие, грозность; ясный, светлый, открытый. Мир, вселенная, земной шар.",Организации культурного досуга,Кинотеатры,ru
Өнер айдыны,"Способность мастерски выполнять работу, мастерство, искусство. Величие, сила, грозность; ясный, светлый, открытый. Пространство искусства.",Организации культурного досуга,Кинотеатры,ru
Ақ желкен,"Символ мечты, новых горизонтов и увлекательного мира кино.",Организации культурного досуга,Кинотеатры,ru
Ақсәуле,"Свет надежды и вдохновения, сияние экрана.",Организации культурного досуга,Кинотеатры,ru
Ақшатыр,"Белый - цвет, обозначающий чистоту. Ясный, светлый, открытый. Чистый, незапятнанный. Шатер – жилище из ткани или других материалов, устанавливаемое на растяжках в виде четырехугольника. В казахском языке используется также в переносном значении «крыша дома».",Организации культурного досуга,Кинотеатры,ru
Алатау,"Символ величественного искусства, как горы Алатау.",Организации культурного досуга,Кинотеатры,ru
Алаш,"Понятие, возникшее в древности, когда тюркские народы ещё не были разделены. Братья, кровные родственники, община. Общее название для казахских племён, объединённых в древности, и боевой клич древних казахских родов.",Организации культурного досуга,Кинотеатры,ru
Алдаспан,"Изогнутый меч, используемый в поединках. Оружие. Часто употребляется в выражении «сверкает, как алдаспан». Может использоваться как образ достижения в искусстве.",Организации культурного досуга,Кинотеатры,ru
Алпар,"Пространство, среда. Пространство искусства, пространство кино, пространство театра.",Организации культурного досуга,Кинотеатры,ru
Алтын күмбез,"Золото – драгоценный металл. Ценный, уважаемый. Купол – геометрическое тело в форме сферы. В истории архитектуры Европы и Азии часто использовался в культовых сооружениях.",Организации культурного досуга,Кинотеатры,ru
Алтын қор,"Намек на коллекцию классических и лучших фильмов, бесценное культурное наследие.",Организации культурного досуга,Кинотеатры,ru
Құс жолы,"Пыль звёзд, пересекающая вселенную.",Организации культурного досуга,Кинотеатры,ru
Әсем бейне,"Прекрасный, красивый. Образ – тип, облик. В художественных произведениях обозначает собрание образов или персонажей. Прекрасный образ: персонаж фильма, изящная картина.",Организации культурного досуга,Кинотеатры,ru
Көкжиек,"Линия горизонта, точка, где земля сливается с небом. Широко используется в выражениях «горизонт искусства», «пространство искусства».",Организации культурного досуга,Кинотеатры,ru
Бәйтерек,"По древнему представлению, дерево с таинственными свойствами. Символ защиты и опоры для потомков, укрытие и крепость. Символично представлено в здании, символе Астаны.",Организации культурного досуга,Кинотеатры,ru
Жұлдызға саяхат,"Звезда – небесное тело, астрономический термин. Известный артист или знаменитость. Путешествие – экспедиция, поездка, путь.",Организации культурного досуга,Кинотеатры,ru
Дала бейнесі,"Степь – широкая равнина. Образ – форма, тип. В художественных произведениях обозначает собрание образов или персонажей.",Организации культурного досуга,Кинотеатры,ru
Кең дала,"Просторный, обширный. Степь – широкая равнина. Название кинотеатра «Широкая степь» удачно и содержательно.",Организации культурного досуга,Кинотеатры,ru
Жарық сәуле,"Свет – луч, сияние, противоположное понятию «мрак». Луч – свет, сияние. Светлый луч: свет искусства, исходящий с экрана.",Организации культурного досуга,Кинотеатры,ru
Көшпенділер,"Отражает дух свободы, исторические эпосы и кочевую культуру в кинематографе.",Организации культурного досуга,Кинотеатры,ru
Шам жарық,"Свет, источник света. Свет искусства, который освещает и делает мир более понятным.",Организации культурного досуга,Кинотеатры,ru
Шамшырақ,"Свет, лампа. Подходящее название для детского кинотеатра.",Организации культурного досуга,Кинотеатры,ru
Ән әуен,"Вокальный музыкальный жанр, созданный на основе единства поэтических и музыкальных образов, широко распространенный среди народа.",Организации культурного досуга,Караоке,ru
Әсем әуен,"Әсем - Прекрасный, красивый. Әуен - Звук, ритм. Эти два слова, соединенные вместе, передают красоту песни и музыки.",Организации культурного досуга,Караоке,ru
Әдемі әуен,"Әдемі – прекрасный, красивый. Әуен – звук, ритм. Эти два слова вместе передают красоту песни и музыки.",Организации культурного досуга,Караоке,ru
Саз,"В значении голос, мелодия, ритм.",Организации культурного досуга,Караоке,ru
Табиғи дауыс,"Дауыс - голос, звук. Табиғи – естественный, природный.",Организации культурного досуга,Караоке,ru
Сазсырнай,"Музыкальный инструмент, издающий приятный, мелодичный звук.",Организации культурного досуга,Караоке,ru
Сандуғаш,"Птица-певчая, издающая различные мелодичные звуки.",Организации культурного досуга,Караоке,ru
Ән сал,"Ән - вокальный музыкальный жанр, созданный на основе единства поэтических и музыкальных образов, широко распространенный среди народа.Сал - привлекательное слово, связанное с пением. Человек, красиво одевающийся, веселый, певец.",Организации культурного досуга,Караоке,ru
Сырбаз әуен,"Сырбаз - утонченный, элегантный. Әуен - звук, ритм. Соединение этих слов подчеркивает красоту и ритмичность музыки.",Организации культурного досуга,Караоке,ru
Әуез,"Мелодия стиха, приятный, гармоничный, ритмичный голос, звук.",Организации культурного досуга,Караоке,ru
Шырқа,"Игры, развлечения, наслаждение. Пение с поднятым, высоким, мелодичным голосом.",Организации культурного досуга,Караоке,ru
"Кел, шырқайық!","Кел - подходить, приближаться. Шырқа - играть, веселиться, наслаждаться. Петь с высоким, мелодичным голосом.",Организации культурного досуга,Караоке,ru
Сарын,"Древняя форма песенного жанра, исполняемая в ровном темпе и голосе.",Организации культурного досуга,Караоке,ru
Дала дауысы,"Дала - широкая равнина. Дауыс - голос, ритм, звук. «Голос степи»: общее название песен с широкой диапазонностью, свойственных кочевникам.",Организации культурного досуга,Караоке,ru
Думан,"Развлечение, веселье, радость, праздничное собрание.",Организации культурного досуга,Караоке,ru
Әсем саз,"Прекрасная, красивая мелодия, выражающая красоту и гармонию песни.",Организации культурного досуга,Караоке,ru
Әсем ән,"Әсем – красивый, изящный, великолепный. Ән – жанр вокальной музыки, рожденный единством поэтических и музыкальных образов, простая форма музыкального творчества, широко распространенная среди народа. Прекрасная песня: выражает красоту и изящество песни.",Организации культурного досуга,Караоке,ru
Аққу сазы,"Лебедь – священная для казахов красивая птица. Мелодия, ритм. «Аққу сазы»: мелодия, красивая и музыкальная, как пение лебедя.",Организации культурного досуга,Караоке,ru
Жырла,"Рассказывать, петь песню в сочетании с мелодией.",Организации культурного досуга,Караоке,ru
Тел қоңыр,"Тел - детеныш, вскормленный двумя матерями. В переносном значении – вместе, рядом. Қоңыр - цвет между коричневым и бурым. Один из основных понятий казахской традиционной музыки. В культуре пения: мягкий, спокойный, красивый голос; спокойная песня, мелодия.",Организации культурного досуга,Караоке,ru
Тамаша,"Веселье, игры, радость.",Организации культурного досуга,Караоке,ru
Түнгі саз,"Түн - временной промежуток от вечера до утра, тёмная часть суток. Саз - в значении звук, мелодия, ритм. Түнгі саз – ""Ночная мелодия"": подразумевается музыкальность, веселье и праздничная атмосфера ночных посиделок, так как люди чаще собираются на караоке именно ночью.",Организации культурного досуга,Караоке,ru
Сырлы саз,"Место, где звучит волшебная музыка и красивые голоса.",Организации культурного досуга,Караоке,ru
Ән самалы,"Ән - вокальный музыкальный жанр, созданный на основе единства поэтических и музыкальных образов, широко распространенный среди народа. Самал - легкий ветерок, приятный мягкий бриз.",Организации культурного досуга,Караоке,ru
Жарқын көңіл,"Ясный, очевидный, четкий. Темп, радостное настроение. Название можно использовать для караоке с упором на второе значение.",Организации культурного досуга,Караоке,ru
Достар әні,"Дос - друг, близкий, преданный человек. Ән - вокальный музыкальный жанр, созданный на основе единства поэтических и музыкальных образов.",Организации культурного досуга,Караоке,ru
Жастар,"Возраст человека. Молодежь, юноши, девушки.",Организации культурного досуга,Караоке,ru
Атамекен,"Родина, исконное место обитания, родной дом. Известная песня Ескендир Хасангалиева с этим названием часто исполняется на праздниках и встречах земляков.",Организации культурного досуга,Караоке,ru
Шама,"Подчеркивает, что каждый может попробовать свои силы в пении.",Организации культурного досуга,Караоке,ru
Әндет,"Олицетворяет атмосферу свободного, веселого исполнения песен и музыкальных встреч.",Организации культурного досуга,Караоке,ru
Шанақ,"Нижняя часть музыкальных инструментов, таких как кобыз или домбра. Размер, уровень чего-либо. В переносном значении – источник музыки. Выражение «изливается из шанака» часто используется в отношении музыки.",Организации культурного досуга,Караоке,ru
Көңіл пернесі,"Перне - механизм для извлечения звуков на струнных инструментах. В переносном значении – элемент, поднимающий настроение. В данном случае подразумевается «нотка настроения».",Организации культурного досуга,Караоке,ru
Құлақ күй,"Отсылка к традиционной настройке инструментов, гармония звучания.",Организации культурного досуга,Караоке,ru
Ай жарық,"Ай - небесное тело, луна. Жарық - свет, сияние, лучи. Ай жарық: светлая ночь под луной, романтичная, живописная атмосфера. Существует популярная песня с таким названием, которая широко распространена среди молодежи и используется для танцев.",Организации культурного досуга,Караоке,ru
Ауыл кеші,"Ауыл - поселение кочевого народа, разбившегося на месте. Родное место, край, где вырос человек. Кеш - время суток между днем и ночью. В переносном значении – праздничная встреча, мероприятие.",Организации культурного досуга,Караоке,ru
Сырнайлы,"Сырнай - духовой музыкальный инструмент, изготавливаемый из тростника или дерева. Сырнайлы - мелодичный, красивый звук.",Организации культурного досуга,Караоке,ru
Сыбызғы,"Духовой инструмент, создающий трогательную, эмоциональную музыку. Мелодии караоке могут также трогать души слушателей, поэтому название можно использовать с таким значением.",Организации культурного досуга,Караоке,ru
Жайлау,"Летнее пастбище, место с изобилием воды, сочной травой, комфортное для жизни. В переносном смысле символизирует простор, спокойствие, отдых.",Организации культурного досуга,Караоке,ru
Асқақ ән,"Асқақ - высокий, возвышенный, величественный. Глубокий, мудрый. Ән - вокальный музыкальный жанр, созданный на основе единства поэтических и музыкальных образов, широко распространенный среди народа.",Организации культурного досуга,Караоке,ru
Арқа,"Символ широкой души и вдохновения, связанных с песенными традициями региона Арка.",Организации культурного досуга,Караоке,ru
Жадыра,"Развеселись, радуйся, улыбайся.",Организации культурного досуга,Караоке,ru
Ақ тілек,"Ақ - цвет. Ясный, четкий. Чистый, искренний. Тілек - желание, молитва, пожелание добра. Ақ тілек: искреннее пожелание добра, чистое намерение.",Организации культурного досуга,Караоке,ru
Егіз лебіз,"Близнецы, родившиеся от одной матери в одно время. Парные элементы в орнаменте, узоре. Лебіз - мнение, пожелание, слова поздравления.",Организации культурного досуга,Караоке,ru
Қос дауыс,"Қос-два, пара, близнецы. Дауыс- голос, звук, ритм. Қос дауыс: дуэт. Пение в два голоса.",Организации культурного досуга,Караоке,ru
Сезім,"Внутреннее эмоциональное состояние, душа, чувства человека.",Организации культурного досуга,Караоке,ru
Көңілашар,"Настроение – общее эмоциональное чувство, связанное с характером человека, его внутренний мир и ощущения. Радостное, светлое. Открывающее – раскрывающее, приносящее свет. Көңілашар: то, что поднимает настроение, освежает душу и помогает раскрыться.",Организации культурного досуга,Караоке,ru
Шалқымалы,"Шарықтаған Взлетевший, поднявшийся высоко, радостный. Существует песня Талгата Атшыбаева с этим названием, создающая приподнятое настроение.",Организации культурного досуга,Караоке,ru
Сусар,"Пушной зверек с ценным мехом.Тоска, жажда. В данном контексте используется в значении ""жажда по музыке"".",Организации культурного досуга,Караоке,ru
Керімсал,"Керім-великодушный, щедрый, красивый. Сал- Артист, творческий человек. Керімсал:(1) Приятный легкий ветерок. (2)Теплый день зимой. (3) Утонченный, элегантный, красивый. Подразумевается уют, комфортность места.",Организации культурного досуга,Караоке,ru
Бастаңғы,"Казахский традиционный вечер развлечений, который начинает забываться. Организуется среди молодежи, с пением песен, танцами, различными играми и демонстрацией талантов. Подходящее название для караоке.",Организации культурного досуга,Караоке,ru
Алқоңыр,Светло-коричневый. Использование слова «Ал» усиливает значение и придает акцент.,Организации культурного досуга,Караоке,ru
Назқоңыр,"Наз- кокетство, нежность; Обиженное пожелание. Красота, изящество, утонченность. Қоңыр - Цвет между коричневым и бурым. Одно из ключевых понятий казахской традиционной музыки. В музыкальной культуре термин, обозначающий мягкий, спокойный голос; спокойную песню или мелодию.Назқоңыр: знаменитая казахская песня.",Организации культурного досуга,Караоке,ru
